dataset,baseline_acc,baseline_dp,baseline_eo,greedy_acc,greedy_dp,greedy_eo,acc_improvement,eo_improvement
compas,0.6879049676025918,0.2484823296473401,0.30589088251243723,0.6295896328293736,0.147811752839211,0.16565675618324568,-5.831533477321815,45.844493689180084
adult,0.806276936678086,0.10208294113955822,0.07263609339898797,0.7832909713780528,0.073819216598537,0.03856074186692082,-2.298596530003316,46.912423201082994
german,0.7233333333333334,0.2753623188405797,0.37142857142857144,0.6533333333333333,0.6644080557124036,0.6871657754010695,-7.000000000000006,-85.00617030028793
